date,dow,week,source_medium,channel_type,action,sessions_add,revenue_add
2019-08-01,Thursday,W1,newsletter / email,OWNED,SCALE,30,1368691.80468535
2019-08-02,Friday,W1,newsletter / email,OWNED,SCALE,7,319361.42109324835
2019-08-03,Saturday,W1,newsletter / email,OWNED,SCALE,15,684345.902342675
2019-08-04,Sunday,W1,newsletter / email,OWNED,SCALE,25,1140576.5039044584
2019-08-05,Monday,W1,newsletter / email,OWNED,SCALE,15,684345.902342675
2019-08-06,Tuesday,W1,newsletter / email,OWNED,SCALE,16,729968.9624988533
2019-08-07,Wednesday,W1,newsletter / email,OWNED,SCALE,22,1003707.3234359234
2019-08-08,Thursday,W2,newsletter / email,OWNED,SCALE,0,0.0
2019-08-09,Friday,W2,newsletter / email,OWNED,SCALE,0,0.0
2019-08-10,Saturday,W2,newsletter / email,OWNED,SCALE,0,0.0
2019-08-11,Sunday,W2,newsletter / email,OWNED,SCALE,0,0.0
2019-08-12,Monday,W2,newsletter / email,OWNED,SCALE,0,0.0
2019-08-13,Tuesday,W2,newsletter / email,OWNED,SCALE,0,0.0
2019-08-14,Wednesday,W2,newsletter / email,OWNED,SCALE,0,0.0
2019-08-15,Thursday,W3,newsletter / email,OWNED,SCALE,30,1368691.80468535
2019-08-16,Friday,W3,newsletter / email,OWNED,SCALE,7,319361.42109324835
2019-08-17,Saturday,W3,newsletter / email,OWNED,SCALE,15,684345.902342675
2019-08-18,Sunday,W3,newsletter / email,OWNED,SCALE,25,1140576.5039044584
2019-08-19,Monday,W3,newsletter / email,OWNED,SCALE,15,684345.902342675
2019-08-20,Tuesday,W3,newsletter / email,OWNED,SCALE,16,729968.9624988533
2019-08-21,Wednesday,W3,newsletter / email,OWNED,SCALE,22,1003707.3234359234
2019-08-22,Thursday,W4,newsletter / email,OWNED,SCALE,31,1414314.8648415285
2019-08-23,Friday,W4,newsletter / email,OWNED,SCALE,7,319361.42109324835
2019-08-24,Saturday,W4,newsletter / email,OWNED,SCALE,15,684345.902342675
2019-08-25,Sunday,W4,newsletter / email,OWNED,SCALE,26,1186199.5640606368
2019-08-26,Monday,W4,newsletter / email,OWNED,SCALE,16,729968.9624988533
