metric,value
Baseline_30d,4384354220
Uplift_per_event,2785814825
Events_count,3
Events_total_uplift,8357444475
Target,20000000000
Residual_before_traffic,7258201305
Traffic_add_alloc,7258225246.978975
Plan_total,20000023941.978973
Gap_after_plan,0
GA_Revenue_clean,10006473135.558361
GA_Sessions_clean,1259452.0
GA_Transactions_clean,10041.0
OMS_Placed_prod_rev,10065855170
OMS_Completed_prod_rev,8072083720
OMS_Cancelled_prod_rev,1993771450
Shipping_all,690804572
Shipping_completed,508978481
Super_event_date,2019-07-12
Super_event_rev,2881886000
Super_event_orders,12229
Downside_Traffic_add,6555199983.83086
Downside_Plan_total,19296998678.83086
Downside_Remaining_gap,703001321.1691399
