source_medium,channel_type,action,week,sessions_add,revenue_add,cvr,aov_proxy
newsletter / email,OWNED,SCALE,W1,130,5930997.820303183,0.0281365313653136,1621488.4330917182
newsletter / email,OWNED,SCALE,W2,0,0.0,0.0281365313653136,1621488.4330917182
newsletter / email,OWNED,SCALE,W3,130,5930997.820303183,0.0281365313653136,1621488.4330917182
newsletter / email,OWNED,SCALE,W4,174,7938412.46717503,0.0281365313653136,1621488.4330917182
l.facebook.com / referral,PAID,SCALE,W1,6430,135729921.45737505,0.0144176931690929,1464093.612905963
l.facebook.com / referral,PAID,SCALE,W2,0,0.0,0.0144176931690929,1464093.612905963
l.facebook.com / referral,PAID,SCALE,W3,6430,135729921.45737505,0.0144176931690929,1464093.612905963
l.facebook.com / referral,PAID,SCALE,W4,8573,180966192.32567284,0.0144176931690929,1464093.612905963
(direct) / (none),OWNED,SCALE,W1,6512,62450703.20744125,0.0096559603442239,993178.8615023775
(direct) / (none),OWNED,SCALE,W2,0,0.0,0.0096559603442239,993178.8615023775
(direct) / (none),OWNED,SCALE,W3,6512,62450703.20744125,0.0096559603442239,993178.8615023775
(direct) / (none),OWNED,SCALE,W4,8683,83270800.97515546,0.0096559603442239,993178.8615023775
youtube.com / referral,PAID,PAUSE,W1,38218,362291515.17984813,0.0119630746043707,792405.3441341873
youtube.com / referral,PAID,PAUSE,W2,0,0.0,0.0119630746043707,792405.3441341873
youtube.com / referral,PAID,PAUSE,W3,38218,362291515.17984813,0.0119630746043707,792405.3441341873
youtube.com / referral,PAID,PAUSE,W4,50957,483052193.7050479,0.0119630746043707,792405.3441341873
google / cpc,PAID,PAUSE,W1,175048,1611064747.4778426,0.0090789924890211,1013720.396557172
google / cpc,PAID,PAUSE,W2,0,0.0,0.0090789924890211,1013720.396557172
google / cpc,PAID,PAUSE,W3,175048,1611064747.4778426,0.0090789924890211,1013720.396557172
google / cpc,PAID,PAUSE,W4,233398,2148092465.6770344,0.0090789924890211,1013720.396557172
